reporter,year,Coal,Gas,Oil,Total
Germany,2019,1.561981409090909,7.912683113144378,14.640899592727273,24.11556411496256
Netherlands,2019,0.41279431090909086,0.7646360220492951,11.073945902727273,12.251376235685658
Italy,2019,0.3872717627272727,5.931899389999999,5.119225637272727,11.438396789999999
Poland,2019,0.7930620327272726,0.3314688182556449,7.862482451818181,8.987013302801099
France,2019,0.3474131427272727,2.1403831671020224,5.684852181818181,8.172648491647477
Finland,2019,0.1410947818181818,0.06962880423947583,5.101468338181818,5.3121919242394755
Slovakia,2019,0.14037283272727272,1.7675946954545452,2.0455601636363636,3.9535276918181816
Hungary,2019,0.020380425454545454,1.6694661419533727,2.138846981818182,3.8286935492261
Greece,2019,0.02237644363636363,0.6895745463636362,2.9241447909090907,3.636095780909091
Lithuania,2019,0.02620226909090909,0.28461126727272723,3.1375042945454545,3.4483178309090907
Czech Republic,2019,0.04478315909090909,1.5316088201952776,1.5899571709090907,3.1663491501952774
Spain,2019,0.2458970018181818,0.7842743947196971,1.976130817272727,3.006302213810606
Bulgaria,2019,0.07331129636363636,0.5749882222952699,2.1358026399999996,2.784102158658906
Romania,2019,0.12225283454545453,0.26104452818181817,2.118919251818182,2.5022166145454547
Austria,2019,0.11790966999999998,1.756920618181818,0.21863805363636363,2.0934683418181814
Belgium,2019,0.18156001818181816,0.3966675143198363,1.4900740109090909,2.0683015434107452
Portugal,2019,0.009411427272727271,0.024048116363636362,0.7478855254545453,0.781345069090909
Estonia,2019,0.0021705536363636362,0.08646996272727273,0.5175143299999999,0.6061548463636363
Slovenia,2019,0.0021292645454545453,0.07603454545454545,0.43438745090909087,0.5125512609090909
Croatia,2019,0.04354795272727273,0.12822837818181818,0.14162939727272725,0.31340572818181817
Latvia,2019,0.005241620909090908,0.18371329272727271,0.0574443809090909,0.24639929454545453
Republic of Cyprus,2019,0.0022736345454545453,0.011488173636363634,0.027598994545454544,0.04136080272727272
Luxembourg,2019,7.975027272727271e-4,0.0013144062565108282,NA,0.0021119089837835555
