country,partner,source,coal,gas,oil,total,unit
EU,Russia,comtrade_eurostat,4324.630845454545,33013.463821111036,61108.58186666667,98446.67653323224,million eur
Germany,Russia,comtrade_eurostat,1576.3547424242422,15682.66368306537,12595.106488181818,29854.124913671432,million eur
Italy,Russia,comtrade_eurostat,465.20686696969693,6675.6788404069985,3814.507656969697,10955.393364346393,million eur
Netherlands,Russia,comtrade_eurostat,369.2091612121212,314.1761329097851,9849.203906969697,10532.589201091603,million eur
Poland,Russia,comtrade_eurostat,715.3695242424243,1.8445969928757535,7209.008992121212,7926.223113356512,million eur
France,Russia,comtrade_eurostat,333.9824,1079.311588181818,5728.514916363636,7141.808904545454,million eur
United Kingdom,Russia,comtrade_eurostat,161.56554515151512,636.3293624785199,4112.313688484848,4910.208596114883,million eur
Finland,Russia,comtrade_eurostat,116.94594787878788,155.0970762340816,4205.470516060605,4477.513540173475,million eur
Slovakia,Russia,comtrade_eurostat,100.49819060606059,1990.6228757575757,1961.3895924242422,4052.510658787878,million eur
Greece,Russia,comtrade_eurostat,22.737402424242422,748.5913033333333,2609.9048696969694,3381.233575454545,million eur
Belgium,Russia,comtrade_eurostat,165.47506424242425,1618.047669038161,1589.0508218181817,3372.573555098767,million eur
Spain,Russia,comtrade_eurostat,200.54148454545452,746.0824915525696,2238.764529090909,3185.3885051889333,million eur
Hungary,Russia,comtrade_eurostat,27.246266969696965,1215.4606054545452,1683.5085239393939,2926.215396363636,million eur
Czech Rep.,Russia,comtrade_eurostat,32.34139939393939,1515.7594615151515,1346.7829627272724,2894.8838236363636,million eur
Lithuania,Russia,comtrade_eurostat,21.069023939393936,242.3919196969697,2475.087524545454,2738.5484681818175,million eur
Romania,Russia,comtrade_eurostat,71.19718272727272,324.9277745454545,2238.575359090909,2634.7003163636364,million eur
Bulgaria,Russia,comtrade_eurostat,66.93335333333332,995.3477631561408,1514.5893348484847,2576.870451337959,million eur
Sweden,Russia,comtrade_eurostat,73.96551272727272,106.77835185151018,1374.0368127272727,1554.7806773060556,million eur
Denmark,Russia,comtrade_eurostat,5.784680454545454,NA,590.4408933333333,596.2255737878787,million eur
Portugal,Russia,comtrade_eurostat,4.728056363636363,144.96660953990394,428.0551933333333,577.7498592368736,million eur
Estonia,Russia,comtrade_eurostat,0.584740909090909,35.32957303030303,454.87540757575755,490.7897215151515,million eur
Slovenia,Russia,comtrade_eurostat,2.0697654545454545,103.24463909090909,252.82504727272726,358.1394518181818,million eur
Austria,Russia,comtrade_eurostat,74.06039424242424,0.01251181818181818,275.5076566666666,349.58056272727265,million eur
Ireland,Russia,comtrade_eurostat,54.70133757575757,NA,215.52294575757574,270.2242833333333,million eur
Croatia,Russia,comtrade_eurostat,42.41706424242424,27.16554484848485,98.00558787878788,167.58819696969698,million eur
Malta,Russia,comtrade_eurostat,0.017098181818181818,NA,93.3282003030303,93.34529848484848,million eur
Latvia,Russia,comtrade_eurostat,3.071931212121212,3.1793896969696966,74.62551606060606,80.87683696969697,million eur
Cyprus,Russia,comtrade_eurostat,3.6043184848484846,6.332819393939393,10.887262727272727,20.824400606060607,million eur
Luxembourg,Russia,comtrade_eurostat,0.6885124242424242,NA,0.015292424242424243,0.7038048484848485,million eur
